state   county   lat  lon
Texas	Kinney County	29.3471	-100.4177
Oklahoma	Ottawa County	36.8358	-94.8027
Pennsylvania	Clearfield County	41.0069	-78.4777
Michigan	Clinton County	42.9505	-84.5917
Illinois	Montgomery County	39.2281	-89.4781
Mississippi	Alcorn County	34.8866	-88.5811
Mississippi	Lafayette County	34.3531	-89.4854
Louisiana	Grant Parish	31.5978	-92.5617
Missouri	Atchison County	40.4318	-95.4376
Illinois	Macon County	39.8602	-88.9615
Michigan	St. Joseph County	41.9115	-85.5229
Illinois	Franklin County	37.9919	-88.9263
Montana	Garfield County	47.2672	-106.9960
Nebraska	Adams County	40.5206	-98.5000
Minnesota	Olmsted County	43.9995	-92.4101
New Jersey	Union County	40.6599	-74.3087
Alabama	Mobile County	30.6846	-88.1966
South Dakota	McCook County	43.6804	-97.3580
Alabama	Fayette County	33.7162	-87.7643
Alabama	Chambers County	32.9155	-85.3940
North Carolina	Northampton County	36.4218	-77.3984
Colorado	Moffat County	40.6109	-108.2172
Kentucky	Green County	37.2781	-85.5379
Indiana	Franklin County	39.4098	-85.0670
North Carolina	Beaufort County	35.4823	-76.8420
North Dakota	Burleigh County	46.9788	-100.4695
North Carolina	Rowan County	35.6414	-80.5217
Michigan	Iron County	46.1703	-88.5405
Minnesota	Kandiyohi County	45.1527	-95.0050
Kentucky	Wolfe County	37.7439	-83.4951
Texas	Fayette County	29.8779	-96.9212
South Dakota	Lawrence County	44.3485	-103.8064
Maine	Washington County	44.9670	-67.6094
Texas	Briscoe County	34.5252	-101.2059
Michigan	Ontonagon County	46.8353	-89.2769
Mississippi	Carroll County	33.4408	-89.9189
Oregon	Benton County	44.4939	-123.4247
Minnesota	Rock County	43.6696	-96.2632
Pennsylvania	Indiana County	40.6514	-79.0875
Louisiana	Lincoln Parish	32.6018	-92.6623
Pennsylvania	Perry County	40.3978	-77.2663
South Dakota	Ziebach County	44.9898	-101.6608
Texas	Harrison County	32.5480	-94.3744
Michigan	Baraga County	46.6959	-88.3618
Oklahoma	Rogers County	36.3778	-95.6014
Missouri	Boone County	38.9899	-92.3102
Oklahoma	Caddo County	35.1679	-98.3810
Colorado	Jefferson County	39.5795	-105.2455
West Virginia	Cabell County	38.4196	-82.2434
Texas	Reagan County	31.3752	-101.5144
Arkansas	Van Buren County	35.5830	-92.5160
Colorado	Summit County	39.6210	-106.1376
Kansas	Cowley County	37.2345	-96.8372
Arkansas	Johnson County	35.5734	-93.4663
New York	Hamilton County	43.6579	-74.5025
Virginia	Craig County	37.4736	-80.2311
Texas	Coleman County	31.9142	-99.3466
Arizona	Navajo County	35.3908	-110.3210
Mississippi	Lincoln County	31.5352	-90.4536
Texas	Ochiltree County	36.2787	-100.8159
Texas	Crane County	31.4228	-102.4878
Wyoming	Big Horn County	44.5251	-107.9948
Tennessee	Hickman County	35.8023	-87.4671
Mississippi	Tunica County	34.6522	-90.3718
Missouri	Harrison County	40.3456	-93.9926
Indiana	Bartholomew County	39.2058	-85.8980
Georgia	Paulding County	33.9210	-84.8672
Ohio	Brown County	38.9314	-83.8668
Tennessee	Putnam County	36.1409	-85.4962
North Dakota	Ward County	48.2167	-101.5405
Massachusetts	Worcester County	42.3117	-71.9403
Ohio	Logan County	40.3876	-83.7663
California	Kings County	36.0725	-119.8155
California	San Diego County	33.0236	-116.7761
Georgia	Crawford County	32.7094	-83.9792
Missouri	Cass County	38.6465	-94.3545
New York	Dutchess County	41.7548	-73.7400
Texas	Washington County	30.2151	-96.4103
Colorado	Pueblo County	38.1628	-104.4847
Missouri	Douglas County	36.9465	-92.5159
North Dakota	Bottineau County	48.7944	-100.8313
North Carolina	Cumberland County	35.0502	-78.8287
Wyoming	Hot Springs County	43.7202	-108.4351
Michigan	Alcona County	44.6575	-83.2946
California	Placer County	39.0620	-120.7227
Arkansas	Searcy County	35.8964	-92.6959
Texas	Lynn County	33.1784	-101.8185
New York	Otsego County	42.6298	-75.0288
North Carolina	Richmond County	35.0046	-79.7557
North Carolina	Hoke County	35.0172	-79.2420
Nebraska	Otoe County	40.6380	-96.1310
Pennsylvania	Cameron County	41.4383	-78.1983
South Carolina	Dorchester County	33.0822	-80.4047
Minnesota	Waseca County	44.0185	-93.5898
South Dakota	Brule County	43.7299	-99.0929
Tennessee	Warren County	35.6782	-85.7773
Illinois	Clark County	39.3323	-87.7917
Kentucky	Robertson County	38.5135	-84.0642
Tennessee	Lake County	36.3339	-89.4855
South Carolina	Berkeley County	33.2077	-79.9537
Arkansas	Garland County	34.5789	-93.1469
Kansas	Osage County	38.6502	-95.7083
Ohio	Trumbull County	41.3064	-80.7704
Texas	Mills County	31.4949	-98.5946
Texas	Oldham County	35.4019	-102.5976
Pennsylvania	Butler County	40.9138	-79.9190
Idaho	Idaho County	45.8496	-115.4673
Kansas	Marion County	38.3596	-97.1028
Virginia	Buckingham County	37.5739	-78.5292
North Carolina	Cabarrus County	35.3883	-80.5527
Missouri	Webster County	37.2808	-92.8761
Utah	Davis County	41.0376	-112.2019
Minnesota	Cottonwood County	44.0106	-95.1832
Florida	Okeechobee County	27.3856	-80.8874
Georgia	Union County	34.8333	-83.9893
Iowa	Black Hawk County	42.4711	-92.3076
Texas	Sabine County	31.3433	-93.8519
Ohio	Pike County	39.0713	-83.0529
Alabama	Tuscaloosa County	33.2902	-87.5228
Alabama	Wilcox County	31.9901	-87.3049
Mississippi	Montgomery County	33.5007	-89.6396
Nebraska	Kearney County	40.5091	-98.9476
Nebraska	Hitchcock County	40.1769	-101.0442
Delaware	New Castle County	39.5759	-75.6441
Idaho	Teton County	43.7610	-111.2118
Illinois	Rock Island County	41.4684	-90.5721
Virginia	Gloucester County	37.4035	-76.5235
Arkansas	Sevier County	33.9949	-94.2433
Indiana	Cass County	40.7538	-86.3552
Idaho	Power County	42.6941	-112.8444
Indiana	Carroll County	40.5850	-86.5651
Pennsylvania	Philadelphia County	40.0094	-75.1333
Wyoming	Washakie County	43.8788	-107.6691
North Carolina	Camden County	36.3423	-76.1625
New York	Tompkins County	42.4530	-76.4735
Arkansas	Jefferson County	34.2772	-91.9297
Arkansas	Lincoln County	33.9564	-91.7424
Wisconsin	Vernon County	43.5994	-90.8220
Missouri	Iron County	37.6260	-90.6996
Texas	Hopkins County	33.1490	-95.5654
New York	Albany County	42.5882	-73.9740
Texas	Houston County	31.3230	-95.4216
Ohio	Monroe County	39.7263	-81.0910
Kansas	Rush County	38.5236	-99.3092
Indiana	Montgomery County	40.0403	-86.8927
Kansas	Stanton County	37.5659	-101.7894
Kentucky	Lee County	37.6081	-83.7192
Minnesota	Koochiching County	48.2454	-93.7829
Texas	Bexar County	29.4487	-98.5201
Colorado	Boulder County	40.0950	-105.3977
Tennessee	Jefferson County	36.0485	-83.4412
Oklahoma	Mayes County	36.3038	-95.2356
Minnesota	Watonwan County	43.9781	-94.6138
Idaho	Blaine County	43.3942	-113.9554
Louisiana	Jefferson Davis Parish	30.2695	-92.8162
South Dakota	Sully County	44.7223	-100.1314
Colorado	Denver County	39.7619	-104.8811
Oklahoma	Coal County	34.5829	-96.2880
Montana	Carter County	45.5168	-104.5153
Texas	Upton County	31.3538	-102.0415
Indiana	Gibson County	38.3174	-87.5805
Nebraska	Kimball County	41.1993	-103.7032
Illinois	Kendall County	41.5881	-88.4306
District of Columbia	District of Columbia	38.9042	-77.0165
Colorado	Montrose County	38.4075	-108.2663
Minnesota	Wright County	45.1751	-93.9664
Wisconsin	Kenosha County	42.5875	-87.8800
Colorado	Eagle County	39.6270	-106.6952
California	San Francisco County	37.7272	-123.0322
Colorado	San Miguel County	38.0093	-108.4273
Florida	St. Johns County	29.8905	-81.4000
Mississippi	Choctaw County	33.3460	-89.2513
Missouri	Grundy County	40.1125	-93.5651
Michigan	Lake County	43.9952	-85.8114
Michigan	Ottawa County	43.0550	-86.2193
Illinois	Cook County	41.8943	-87.6455
Illinois	Gallatin County	37.7687	-88.2280
South Carolina	Greenwood County	34.1558	-82.1279
Kansas	Franklin County	38.5580	-95.2790
